,R,E,V
0,1.0,1.0,1.0
1,0.5,0.75,0.0625
2,1.0,0.6666666666666666,0.07407407407407407
3,0.25,0.625,0.078125
4,1.0,0.6,0.08
5,0.6666666666666666,0.5833333333333334,0.08101851851851852
6,0.5714285714285714,0.5714285714285714,0.08163265306122448
7,0.75,0.5625,0.08203125
8,0.3333333333333333,0.5555555555555556,0.0823045267489712
9,0.8,0.55,0.0825
10,0.9166666666666666,0.5416666666666666,0.08275462962962964
11,0.9166666666666666,0.5416666666666666,0.08275462962962964
12,0.15384615384615385,0.5384615384615384,0.08284023668639053
13,0.42857142857142855,0.5357142857142857,0.08290816326530613
14,0.4666666666666667,0.5333333333333333,0.08296296296296296
15,0.5,0.53125,0.0830078125
16,0.7647058823529411,0.5294117647058824,0.08304498269896193
17,0.5263157894736842,0.5263157894736842,0.08310249307479224
18,0.5263157894736842,0.5263157894736842,0.08310249307479224
19,0.15,0.525,0.083125
20,1.0,0.5208333333333334,0.0831886574074074
21,1.0,0.5208333333333334,0.0831886574074074
22,1.0,0.5208333333333334,0.0831886574074074
23,1.0,0.5208333333333334,0.0831886574074074
24,0.16,0.52,0.0832
25,1.0,0.5192307692307693,0.08321005917159764
26,0.6296296296296297,0.5185185185185185,0.08321902149062643
27,0.4827586206896552,0.5172413793103449,0.08323424494649227
28,0.4827586206896552,0.5172413793103449,0.08323424494649227
29,0.9666666666666667,0.5166666666666667,0.08324074074074074
30,0.5483870967741935,0.5161290322580645,0.08324661810613944
31,0.8125,0.515625,0.083251953125
32,0.06060606060606061,0.5151515151515151,0.0832568105295378
33,0.20588235294117646,0.5147058823529411,0.08326124567474048
34,0.22857142857142856,0.5142857142857142,0.08326530612244898
35,0.9444444444444444,0.5138888888888888,0.0832690329218107
36,0.2972972972972973,0.5135135135135135,0.08327246165084003
37,0.3157894736842105,0.5131578947368421,0.08327562326869806
38,0.6,0.5125,0.08328125
39,0.6,0.5125,0.08328125
40,0.0975609756097561,0.5121951219512195,0.08328375966686496
41,0.9523809523809523,0.5119047619047619,0.08328609221466364
42,1.0,0.5116279069767442,0.08328826392644673
43,0.5,0.5113636363636364,0.08329028925619834
44,0.7111111111111111,0.5111111111111111,0.08329218106995885
45,0.717391304347826,0.5108695652173914,0.08329395085066163
46,0.7291666666666666,0.5104166666666666,0.08329716435185185
47,0.7291666666666666,0.5104166666666666,0.08329716435185185
48,0.32653061224489793,0.5102040816326531,0.08329862557267805
49,0.9803921568627451,0.5098039215686274,0.08330129437395874
50,0.9803921568627451,0.5098039215686274,0.08330129437395874
51,0.5769230769230769,0.5096153846153846,0.08330251479289941
52,0.41509433962264153,0.5094339622641509,0.08330366678533287
53,0.6851851851851852,0.5092592592592593,0.08330475537265661
54,0.6,0.509090909090909,0.08330578512396694
55,0.9107142857142857,0.5089285714285714,0.08330676020408163
56,0.6140350877192983,0.5087719298245614,0.08330768441571766
57,0.39655172413793105,0.5086206896551724,0.08330856123662307
58,0.6440677966101694,0.5084745762711864,0.08330939385234128
59,0.13333333333333333,0.5083333333333333,0.08331018518518518
60,0.9841269841269841,0.5079365079365079,0.08331233728059124
61,0.9841269841269841,0.5079365079365079,0.08331233728059124
62,0.9841269841269841,0.5079365079365079,0.08331233728059124
63,0.421875,0.5078125,0.08331298828125
64,0.6,0.5076923076923077,0.08331360946745563
65,0.8787878787878788,0.5075757575757576,0.08331420263238445
66,0.6567164179104478,0.5074626865671642,0.0833147694364001
67,0.47058823529411764,0.5073529411764706,0.08331531141868512
68,0.7536231884057971,0.5072463768115942,0.08331583000770147
69,0.7746478873239436,0.5070422535211268,0.0833168022217814
70,0.7746478873239436,0.5070422535211268,0.0833168022217814
71,1.0,0.5069444444444444,0.08331725823045268
72,0.6027397260273972,0.5068493150684932,0.0833176956276975
73,0.44594594594594594,0.5067567567567568,0.08331811541271
74,0.3466666666666667,0.5066666666666667,0.08331851851851851
75,0.5789473684210527,0.506578947368421,0.08331890581717451
76,0.5844155844155844,0.5064935064935064,0.08331927812447293
77,0.717948717948718,0.5064102564102564,0.08331963620425159
78,0.9113924050632911,0.5063291139240507,0.08331998077231213
79,0.7125,0.50625,0.08332031250000001
80,0.2962962962962963,0.5061728395061729,0.08332063201747701
81,0.5783132530120482,0.5060240963855421,0.0833212367542459
82,0.5783132530120482,0.5060240963855421,0.0833212367542459
83,0.5882352941176471,0.5058823529411764,0.08332179930795848
84,0.5882352941176471,0.5058823529411764,0.08332179930795848
85,0.46511627906976744,0.5058139534883721,0.08332206598161168
86,0.367816091954023,0.5057471264367817,0.08332232351257322
87,0.7159090909090909,0.5056818181818182,0.08332257231404959
88,0.6629213483146067,0.5056179775280899,0.08332281277616463
89,0.4888888888888889,0.5055555555555555,0.08332304526748971
90,0.9032258064516129,0.5053763440860215,0.08332369830808957
91,0.9032258064516129,0.5053763440860215,0.08332369830808957
92,0.9032258064516129,0.5053763440860215,0.08332369830808957
93,0.42105263157894735,0.5052631578947369,0.08332409972299169
94,0.42105263157894735,0.5052631578947369,0.08332409972299169
95,0.8673469387755102,0.5051020408163265,0.08332465639316951
96,0.8673469387755102,0.5051020408163265,0.08332465639316951
97,0.8673469387755102,0.5051020408163265,0.08332465639316951
98,0.9803921568627451,0.5049019607843137,0.08332532359348968
99,0.9803921568627451,0.5049019607843137,0.08332532359348968
